"Tabela 7063 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Brasil"
"Variável - INPC - Peso mensal (%)"
"Mês","Geral, grupo, subgrupo, item e subitem"
"Mês","1.Alimentação e bebidas","2.Habitação","3.Artigos de residência","4.Vestuário","5.Transportes","6.Saúde e cuidados pessoais","7.Despesas pessoais","8.Educação","9.Comunicação"
"janeiro 2020","21.9988","17.5182","4.5763","5.4415","19.8953","11.7849","8.1496","4.5423","6.0931"
"fevereiro 2020","22.0572","17.5653","4.5643","5.4059","19.9454","11.6729","8.1589","4.5416","6.0884"
"março 2020","22.0449","17.4658","4.5514","5.3621","19.8774","11.7565","8.1610","4.6909","6.0901"
"abril 2020","22.2514","17.4565","4.4951","5.3599","19.7632","11.7598","8.1235","4.7119","6.0788"
"maio 2020","22.7271","17.4737","4.4350","5.3672","19.3130","11.7587","8.1275","4.7211","6.0769"
"junho 2020","22.8767","17.4672","4.4703","5.3445","19.0823","11.7703","8.1465","4.7335","6.1088"
"julho 2020","22.8941","17.4329","4.5137","5.3019","19.1382","11.7439","8.1185","4.7208","6.1360"
"agosto 2020","22.8225","17.5209","4.5315","5.2471","19.2149","11.7446","8.0917","4.6923","6.1344"
"setembro 2020","22.9247","17.5264","4.5411","5.1892","19.2919","11.7663","8.0767","4.5007","6.1830"
"outubro 2020","23.3235","17.4548","4.5454","5.1627","19.2567","11.6395","8.0208","4.4577","6.1388"
"novembro 2020","23.6101","17.3664","4.5659","5.1764","19.2169","11.5920","7.9615","4.4183","6.0925"
"dezembro 2020","24.0093","17.2815","4.5583","5.1277","19.2442","11.4637","7.8809","4.3776","6.0568"
"janeiro 2021","24.1047","17.5638","4.5693","5.0900","19.1604","11.3614","7.8283","4.3348","5.9872"
"fevereiro 2021","24.2814","17.3156","4.6016","5.0696","19.2321","11.3556","7.8448","4.3275","5.9719"
"março 2021","24.1231","17.2664","4.5990","5.0371","19.5029","11.3445","7.8018","4.4080","5.9172"
"abril 2021","23.9345","17.2650","4.5890","5.0026","20.0171","11.2330","7.7462","4.3522","5.8602"
"maio 2021","23.9583","17.2595","4.6007","5.0098","19.9255","11.3393","7.7258","4.3382","5.8429"
"junho 2021","23.8566","17.4221","4.6164","5.0025","20.0278","11.3037","7.6721","4.3002","5.7986"
"julho 2021","23.8267","17.5137","4.6413","5.0294","20.0080","11.2938","7.6523","4.2769","5.7579"
"agosto 2021","23.7426","17.8832","4.6236","5.0038","20.0530","11.1318","7.6161","4.2386","5.7073"
"setembro 2021","23.8424","17.8486","4.6312","5.0119","20.1587","11.0200","7.6014","4.2155","5.6703"
"outubro 2021","23.7820","18.1350","4.6222","4.9777","20.1963","10.9608","7.5548","4.1672","5.6040"
"novembro 2021","23.7699","18.1300","4.6293","5.0076","20.3596","10.8868","7.5325","4.1220","5.5624"
"dezembro 2021","23.5654","18.1641","4.6397","5.0130","20.8314","10.6680","7.5089","4.0863","5.5232"
"janeiro 2022","23.5705","18.1522","4.6748","5.0799","20.7397","10.7173","7.4982","4.0601","5.5072"
"fevereiro 2022","23.6671","18.0619","4.7303","5.1059","20.6434","10.7159","7.5139","4.0432","5.5183"
"março 2022","23.7237","17.9662","4.7697","5.1005","20.5437","10.7059","7.4912","4.2199","5.4792"
"abril 2022","23.8818","17.8824","4.7169","5.1038","20.8021","10.6624","7.4108","4.1568","5.3830"
"maio 2022","24.1688","17.4850","4.7384","5.1202","20.9098","10.7580","7.3714","4.1179","5.3306"
"junho 2022","24.2080","17.1221","4.7462","5.2007","21.0513","10.8417","7.3791","4.1021","5.3488"
"Fonte: IBGE - Índice Nacional de Preços ao Consumidor"

"Notas"
"1 - Com a atualização das Estruturas de Ponderação, obtidas a partir da Pesquisa de Orçamentos Familiares - POF - 2017-2018, foram introduzidos aperfeiçoamentos na classificação dos produtos e serviços que compõem as estruturas dos índices de preços. Com isso, foram criadas novas tabelas, a partir de janeiro de 2020 para o IPCA e INPC e fevereiro de 2020 para o IPCA-15, contendo os dados com as estruturas atualizadas. Os dados de períodos anteriores são disponibilizados em outras tabelas."
"2 - A variação acumulada em 12 meses está disponível a partir de dezembro de 2020."
""
"Legenda"
"Símbolo","Significado"
"-","Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0","Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X","Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..","Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...","Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)","Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
